Taxonomic Rank,Green Sea Turtle,Loggerhead Sea Turtle,Leatherback Sea Turtle
Kingdom:,Animalia,Animalia,Animalia
Phylum:,Chordata,Chordata,Chordata
Class:,Reptilia,Reptilia,Reptilia
Order:,Testudines,Testudines,Testudines
Suborder:,Cryptodira,Cryptodira,Cryptodira
Superfamily:,Chelonioidea,Chelonioidea,Chelonioidea
Family:,Cheloniidae,Cheloniidae,Dermochelyidae
Subfamily:,Cheloniinae,Carettinae,Dermochelyinae
Genus:,Chelonia,Caretta,Dermochelys
Species:,C. mydas,C. caretta,D. coriacea
